[17/02/2021, 18:49] n/a: Unknown column 'factionLeader' in 'field list'
[17/02/2021, 18:59] n/a: Unknown column 'factionLeader' in 'field list'
[17/02/2021, 18:59] n/a: Unknown column 'factionLeader' in 'field list'
[17/02/2021, 19:11] n/a: Unknown column 'factionLeader' in 'field list'
[17/02/2021, 19:13] n/a: Unknown column 'factionLeader' in 'field list'
[17/02/2021, 19:13] n/a: Unknown column 'factionLeader' in 'field list'
[17/02/2021, 19:14] n/a: Unknown column 'factionLeader' in 'field list'
[17/02/2021, 19:15] n/a: Unknown column 'factionLeader' in 'field list'
[17/02/2021, 19:39] n/a: Unknown column 'factionLeader' in 'field list'
[17/02/2021, 19:45] n/a: Unknown column 'factionLeader' in 'field list'
[17/02/2021, 19:45] n/a: Unknown column 'factionLeader' in 'field list'
[17/02/2021, 19:49] n/a: Unknown column 'factionLeader' in 'field list'
[17/02/2021, 19:49] n/a: Unknown column 'factionLeader' in 'field list'
[17/02/2021, 19:56] n/a: Unknown column 'factionLeader' in 'field list'
[17/02/2021, 19:56] n/a: Unknown column 'factionLeader' in 'field list'
[17/02/2021, 19:57] n/a: Unknown column 'factionLeader' in 'field list'
[17/02/2021, 20:01] n/a: Unknown column 'factionLeader' in 'field list'
[17/02/2021, 20:04] n/a: Unknown column 'factionLeader' in 'field list'
[21/02/2021, 19:38] n/a: You have an error in your SQL syntax; check the manual that corresponds to your MariaDB server version for the right syntax to use near 'WH' at line 1
[21/02/2021, 19:38] n/a: You have an error in your SQL syntax; check the manual that corresponds to your MariaDB server version for the right syntax to use near 'WH' at line 1
[27/02/2021, 00:05] n/a: Unknown column 'factionFixX' in 'field list'
[27/02/2021, 00:08] n/a: Unknown column 'factionFixX' in 'field list'
[27/02/2021, 00:08] n/a: Unknown column 'factionFixX' in 'field list'
[27/02/2021, 00:51] n/a: Unknown column 'Fakedni' in 'field list'
[27/02/2021, 00:54] n/a: Unknown column 'Fakedni' in 'field list'
